state,salary,ocode,occupation,projemp,projempnorm,salarynorm
TAS,24770,1351,ICT Managers,13.936566222744599,0.6461793003287923,0.2583854613194467
TAS,23773.5,1391,Commissioned Officers (Management),6.732277694428772,0.5458274574032055,0.2478381439261635
TAS,23071.5,1392,Senior Non-commissioned Defence Force Members,0,0.45205047011745547,0.2404079213370167
TAS,14578,1399,Other Specialist Managers,9.910755486921778,0.5901019340459795,0.1505096370622043
TAS,6275,1411,Cafe and Restaurant Managers,13.924622101467618,0.6460129251791074,0.06262767387461764
TAS,7200,1412,Caravan Park and Camping Ground Managers,-0.22158553568144532,0.44896390344485654,0.07241820933752474
TAS,10474.5,1413,Hotel and Motel Managers,1.7347037590860377,0.47621395530686983,0.10707670487621587
TAS,8867,1414,Licensed Club Managers,0,0.45205047011745547,0.09006234189608273
TAS,8839,1419,Other Accommodation and Hospitality Managers,2.5257662968830323,0.4872330286303918,0.08976597974152986
TAS,9165.5,1421,Retail Managers,1.8427266056058953,0.47771865513721795,0.0932217741508695
TAS,8993,1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696,0.6780973566258244,0.09139597159157062
TAS,9250,1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555,0.43322482460064965,0.0941161527958594
TAS,8313.5,1493,Conference and Event Organisers,12.581703747763942,0.6273067987985383,0.08420389716233237
TAS,15668,1494,Transport Services Managers,4.572577555078802,0.5157440024862379,0.16204659236444077
TAS,20182,1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265,0.5543283269961918,0.20982440542342742
TAS,1401,2111,"Actors, Dancers and Other Entertainers",8.159079077977132,0.5657020290233024,0.01103949025709417
TAS,6450,2112,Music Professionals,-0.8677643110179024,0.43996298257535726,0.06447993734057304
TAS,5159.5,2113,Photographers,5.190139253456031,0.5243463029505834,0.050820817324484804
TAS,1419,2114,Visual Arts and Crafts Professionals,4.092712635997531,0.5090597436873471,0.01123000878502101
TAS,10971,2121,"Artistic Directors, and Media Producers and Presenters",-12.196509707294664,0.2821596860967669,0.11233184093819791
TAS,6094,2122,"Authors, and Book and Script Editors",14.767564649607955,0.657754658988601,0.06071190423268663
TAS,10474,2123,"Film, Television, Radio and Stage Directors",11.847967822954898,0.6170862541901577,0.10707141269488457
TAS,15356,2124,Journalists and Other Writers,1.5769465894702623,0.474016483253461,0.15874427121370888
TAS,15406,2211,Accountants,4.018089884403248,0.5080202891156386,0.159273489346839
TAS,15807,2212,"Auditors, Company Secretaries and Corporate Treasurers",10.073698243893048,0.5923716385267446,0.1635178187745425
TAS,16995,2221,Financial Brokers,19.69643209589858,0.7264111168507661,0.176092041617714
TAS,46488,2222,Financial Dealers,1.640098800270539,0.47489615939548724,0.48825664962584275
TAS,18735,2223,Financial Investment Advisers and Managers,-1.0344497612096504,0.43764114440218055,0.19450883265064195
TAS,11381.5,2231,Human Resource Professionals,10.826243446735237,0.6028541862055613,0.11667672181119614
TAS,15766,2232,ICT Trainers,-9.43184301160828,0.3206699979612445,0.1630838599053758
TAS,11320,2233,Training and Development Professionals,-5.859103415553496,0.3704363283002002,0.11602578350744609
TAS,17536.5,2241,"Actuaries, Mathematicians and Statisticians",7.821899538476034,0.5610053003938555,0.18182347399951312
TAS,10600,2242,"Archivists, Curators and Records Managers",-4.04368752249386,0.3957240898645643,0.10840504239037246
TAS,29311,2243,Economists,5.7924027091688846,0.532735507168317,0.3064490521703236
TAS,21138,2244,Intelligence and Policy Analysts,36.315944458532236,0.9579119357810078,0.2199430561288752
TAS,22652,2245,Land Economists and Valuers,5.792402709168869,0.5327355071683169,0.23596778120005504
TAS,11820,2246,Librarians,6.386459142421852,0.541010392001764,0.12131796483874724
TAS,19763,2247,Management and Organisation Analysts,10.343099523605053,0.5961242526536432,0.20538955746779708
TAS,358,2249,Other Information and Organisation Professionals,25.489574013061418,0.8071064506691996,0.0
TAS,11172,2251,Advertising and Marketing Professionals,12.46706580479654,0.6257099542522989,0.11445929783338096
TAS,15065,2252,ICT Sales Professionals,-1.1278006902532938,0.43634081644730677,0.1556642216788916
TAS,13466,2253,Public Relations Professionals,0.6736631188675851,0.46143423302806796,0.13873982578139057
TAS,12930,2254,Technical Sales Representatives,-1.7028640718887944,0.4283304945509358,0.13306660739423576
TAS,27935.5,2311,Air Transport Professionals,5.623030587346921,0.5303762451123559,0.2918902613279141
TAS,30890.5,2312,Marine Transport Professionals,3.409027878727939,0.49953638477376744,0.32316705299590387
