state,salary,ocode,occupation,projemp,projempnorm,salarynorm
NSW,7105,1412,Caravan Park and Camping Ground Managers,-0.22158553568144532,0.44896390344485654,0.11630500356483428
NSW,11568,1413,Hotel and Motel Managers,1.7347037590860377,0.47621395530686983,0.19789400559404763
NSW,16028.5,1414,Licensed Club Managers,0,0.45205047011745547,0.2794373046196596
NSW,11500,1419,Other Accommodation and Hospitality Managers,2.5257662968830323,0.4872330286303918,0.19665088389608965
NSW,9401,1421,Retail Managers,1.8427266056058953,0.47771865513721795,0.158278642072357
NSW,10183.5,1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696,0.6780973566258244,0.17258368219959416
NSW,9992,1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555,0.43322482460064965,0.16908283212372718
NSW,10820,1493,Conference and Event Organisers,12.581703747763942,0.6273067987985383,0.18421966691650976
NSW,17430.5,1494,Transport Services Managers,4.572577555078802,0.5157440024862379,0.30506754903932287
NSW,26355,1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265,0.5543283269961918,0.46821813129558876
NSW,2759.5,2111,"Actors, Dancers and Other Entertainers",8.159079077977132,0.5657020290233024,0.036864042704886565
NSW,7809.5,2112,Music Professionals,-0.8677643110179024,0.43996298257535726,0.12918410997970786
NSW,5778,2113,Photographers,5.190139253456031,0.5243463029505834,0.09204584925321292
NSW,7155,2114,Visual Arts and Crafts Professionals,4.092712635997531,0.5090597436873471,0.11721906363686221
NSW,20152,2121,"Artistic Directors, and Media Producers and Presenters",-12.196509707294664,0.2821596860967669,0.3548198387598033
NSW,11991.5,2122,"Authors, and Book and Script Editors",14.767564649607955,0.657754658988601,0.20563609440412423
NSW,17311,2123,"Film, Television, Radio and Stage Directors",11.847967822954898,0.6170862541901577,0.3028829454671761
NSW,16539,2124,Journalists and Other Writers,1.5769465894702623,0.474016483253461,0.2887698579550648
NSW,18587.5,2211,Accountants,4.018089884403248,0.5080202891156386,0.32621889910604923
NSW,22368,2212,"Auditors, Company Secretaries and Corporate Treasurers",10.073698243893048,0.5923716385267446,0.3953309811520813
NSW,19016,2221,Financial Brokers,19.69643209589858,0.7264111168507661,0.33405239392332864
NSW,49667.5,2222,Financial Dealers,1.640098800270539,0.47489615939548724,0.8943986398786128
NSW,26443,2223,Financial Investment Advisers and Managers,-1.0344497612096504,0.43764114440218055,0.4698268770223579
NSW,15362,2231,Human Resource Professionals,10.826243446735237,0.6028541862055613,0.2672528838595272
NSW,18078,2232,ICT Trainers,-9.43184301160828,0.3206699979612445,0.3169046269720846
NSW,17074,2233,Training and Development Professionals,-5.859103415553496,0.3704363283002002,0.2985503007257637
NSW,35341,2241,"Actuaries, Mathematicians and Statisticians",7.821899538476034,0.5610053003938555,0.632493007440449
NSW,12518,2242,"Archivists, Curators and Records Managers",-4.04368752249386,0.3957240898645643,0.2152611469625784
NSW,34626,2243,Economists,5.7924027091688846,0.532735507168317,0.6194219484104495
NSW,24892.5,2244,Intelligence and Policy Analysts,36.315944458532236,0.9579119357810078,0.44148187418877166
NSW,24995,2245,Land Economists and Valuers,5.792402709168869,0.5327355071683169,0.44335569733642893
NSW,14461,2246,Librarians,6.386459142421852,0.541010392001764,0.2507815213615839
NSW,25290,2247,Management and Organisation Analysts,10.343099523605053,0.5961242526536432,0.4487486517613938
NSW,1249,2249,Other Information and Organisation Professionals,25.489574013061418,0.8071064506691996,0.009250287928922688
NSW,15634,2251,Advertising and Marketing Professionals,12.46706580479654,0.6257099542522989,0.2722253706513592
NSW,30108,2252,ICT Sales Professionals,-1.1278006902532938,0.43634081644730677,0.5368274803020054
NSW,17988,2253,Public Relations Professionals,0.6736631188675851,0.46143423302806796,0.3152593188424343
NSW,18778,2254,Technical Sales Representatives,-1.7028640718887944,0.4283304945509358,0.32970146798047567
NSW,38384,2311,Air Transport Professionals,5.623030587346921,0.5303762451123559,0.688122703424069
