ocode,occupation,projemp
3330,"Glaziers, Plasterers and Tilers nfd",3.2394361445309903
3341,Plumbers,11.35508625191936
3300,Construction Trades Workers nfd,8.928950151654712
3411,Electricians,4.54298522106317
3421,Airconditioning and Refrigeration Mechanics,2.4292652254221125
3422,Electrical Distribution Trades Workers,-10.224142647214128
3423,Electronics Trades Workers,-5.170874287259768
3424,Telecommunications Trades Workers,-7.952238468073247
3420,Electronics and Telecommunications Trades Workers nfd,-14.598897319571085
3400,Electrotechnology and Telecommunications Trades Workers nfd,-5.016478528519187
3511,Bakers and Pastrycooks,12.574090203414062
3512,Butchers and Smallgoods Makers,4.77544196148981
3513,Chefs,16.652315996561747
3514,Cooks,13.644757788387432
3510,Food Trades Workers nfd,0
3611,Animal Attendants and Trainers,12.71070662639287
3612,Shearers,8.919981545532178
3613,Veterinary Nurses,9.338291215200687
3610,"Animal Attendants and Trainers, and Shearers nfd",0
3621,Florists,0
3622,Gardeners,13.946324081677163
3623,Greenkeepers,9.540860225463172
3624,Nurserypersons,4.755862864083574
3620,Horticultural Trades Workers nfd,12.69268905884725
3600,Skilled Animal and Horticultural Workers nfd,0
3911,Hairdressers,3.250720930620279
3921,Print Finishers and Screen Printers,-13.346277477208224
3922,Graphic Pre-press Trades Workers,-10.20835291219582
3923,Printers,-7.715615400882641
3920,Printing Trades Workers nfd,-4.987219557634542
3931,Canvas and Leather Goods Makers,-6.190114472486307
3932,Clothing Trades Workers,-6.190114472486305
3933,Upholsterers,-11.712158173343097
3930,"Textile, Clothing and Footwear Trades Workers nfd",0
3941,Cabinetmakers,-0.05391831447233924
3942,Wood Machinists and Other Wood Trades Workers,0.2941367523807132
3940,Wood Trades Workers nfd,0
3991,Boat Builders and Shipwrights,0.8316420688888924
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",0
3993,"Gallery, Library and Museum Technicians",-3.4809054440597627
3994,Jewellers,3.8656718925594737
3995,Performing Arts Technicians,2.3812494294467106
3996,Signwriters,-3.8505535541473854
3999,Other Miscellaneous Technicians and Trades Workers,17.946990519700734
3990,Miscellaneous Technicians and Trades Workers nfd,0.30986497275049985
3900,Other Technicians and Trades Workers nfd,-5.594277959136022
3000,Technicians and Trades Workers nfd,3.7855363456367765
4111,Ambulance Officers and Paramedics,19.906905316602188
4112,"Dental Hygienists, Technicians and Therapists",2.6676767256002236
4113,Diversional Therapists,2.8135853498851406
4114,Enrolled and Mothercraft Nurses,7.631375546746789
4115,Indigenous Health Workers,0
4116,Massage Therapists,20.22876974324295
4117,Welfare Support Workers,11.655087356683273
4110,Health and Welfare Support Workers nfd,0
4211,Child Carers,17.64063054871521
4221,Education Aides,20.76408931425629
4231,Aged and Disabled Carers,39.337459055496296
4232,Dental Assistants,6.592912354583083
4233,Nursing Support and Personal Care Workers,11.622393357142325
4234,Special Care Workers,6.592912354583071
4230,Personal Carers and Assistants nfd,0
4200,Carers and Aides nfd,11.909436936574709
4311,Bar Attendants and Baristas,13.42814587767407
4312,Cafe Workers,10.623668642905756
4313,Gaming Workers,-5.223329991457122
4314,Hotel Service Managers,3.0980149526322434
4315,Waiters,15.758489560039578
4319,Other Hospitality Workers,17.369315939036678
4310,Hospitality Workers nfd,12.673590947491808
4411,Defence Force Members - Other Ranks,0.9160259298873725
4412,Fire and Emergency Workers,6.43720187103294
4413,Police,8.28292334096196
4410,"Defence Force Members, Fire Fighters and Police nfd",0
